status;time;card_type;city;amount;id
success;7/9/2025 10:48;Visa;Tehran;1427657.0;98
success;20/9/2025 13:10;MastCard;Tehran;1578078.0;52
fail;29/9/2025 3:27;Visa;Tehran ;250000.0;20
success;15/9/2025 13:13;Discover;Isfahan;0.0;40
success;11/9/2025 11:11;Visa;Tehran;1782689.0;59
fail;8/9/2025 21:21;Discover;Tehran;1050805.0;77
Success;29/9/2025 22:27;Visa;Tabriz;1387769.0;14
fail;21/9/2025 3:00;Master-Card;Tehran;1502601.0;44
success;7/9/2025 12:12;Discover;Isfahan;-999999.0;87
fail;26/9/2025 7:32;Visa;Tehran;0.0;82
success;19/9/2025 12:12;Visa;Tehran;200000.0;48
fail;23/9/2025 19:19;Amex;Shiraz;914282.0;94
fail;11/9/2025 7:32;visa;TEHRAN;774681.0;43
failed;11/9/2025 14:30;Visa;Isfahan;1305967.0;16
fail;24/9/2025 11:11;Visa;karaj;177050.0;35
failed;21/9/2025 11:11;MasterCard;Tehran;650000.0;53
success;4/9/2025 10:05;Amex;Ahvaz;12345.0;34
succeed;8/9/2025 19:51;Discover;Tehran;-999999.0;3
success;24/9/2025 3:00;Discover;karaj;50200.0;68
fail;3/9/2025 17:17;MasterCard;THR;1305967.0;5
fail;22/9/2025 0:00;Discover;Ahvaz;471227.0;10
failed;21/9/2025 11:11;nan;karaj;250000.0;52
failed;2/9/2025 11:11;Visa;Qom;177050.0;29
fail;24/9/2025 13:10;Discover;Tabriz;471227.0;97
success;12/9/2025 16:40;Vsa;Shiraz;9999999999.0;31
success;30/9/2025 16:40;Vsa;Isfahan;976246.0;66
FAIL;6/9/2025 1:01;Visa;Tehran;120000.0;76
Success;2/9/2025 16:40;VISA;Mashhad;1050805.0;92
succeed;28/9/2025 3:27;MastCard;Shiraz;0.0;69
failed;21/9/2025 21:10;Discover;Tehran;1158713.0;37
Success;1/9/2025 14:30;MasterCard;Shiraz;450000.0;27
fail;12/9/2025 22:27;Discover;Shiraz;-999999.0;88
failed;26/9/2025 3:27;Visa;Tehran;-999999.0;33
success;22/9/2025 2:54;Discover;Isfahan;100.5;68
FAIL;29/9/2025 11:11;Amex;Tehran ;-999999.0;59
success;12/9/2025 19:51;Vsa;THR;9999999999.0;64
fail;25/9/2025 12:34;Discover;Isfahan;-5000.0;85
success;17/9/2025 14:02;Discover;Isfahan;99999.0;89
success;27/9/2025 2:24;MasterCard;Tehran;1578078.0;44
fail;27/9/2025 11:11;Amex;Tehran;63489.0;96
fail;10/9/2025 19:29;MastCard;Tabriz;450000.0;89
success;28/9/2025 19:40;Discover;tehr@n;177050.0;49
fail;28/9/2025 12:12;Amex;tehr@n;1050805.0;53
fail;16/9/2025 7:32;Discover;karaj;-5000.0;74
fail;15/9/2025 11:11;MastCard;Isfahan;1578078.0;49
Success;30/9/2025 21:23;Visa;Tehran;343679.0;66
success;30/9/2025 9:09;Discover;Qom;555555.0;96
fail;15/9/2025 5:23;MasterCard;Shiraz;471227.0;63
success;30/9/2025 1:01;Master-Card;Isfahan;976246.0;25
success;19/9/2025 14:00;Amex;Karaj;343679.0;4
fail;12/9/2025 21:23;VISA;Karaj;1463119.0;51
fail;23/9/2025 8:08;Visa;Ahvaz;200000.0;11
success;20/9/2025 2:24;MasterCard;Mashhad;976246.0;17
success;25/9/2025 7:32;MasterCard;Ahvaz;9999999999.0;66
success;3/9/2025 18:12;Amex;Tehran;774681.0;70
success;5/9/2025 2:30;Vsa;Karaj;1578078.0;73
fail;19/9/2025 2:24;Vsa;Tabriz;205000.0;69
FAIL;7/9/2025 2:30;MastCard;Tabriz;1000.0;84
fail;21/9/2025 7:08;Amex;Tehran;-5000.0;29
success;9/9/2025 14:02;Master Card;Tehran;419089.0;85
fail;7/9/2025 9:09;Discover;nan;0.0;73
fail;18/9/2025 16:16;Vsa;Isfahan;9999999999.0;93
success;4/9/2025 16:40;nan;TEHRAN;-5000.0;72
fail;25/9/2025 19:29;MasterCard;Tehran;0.0;96
success;28/9/2025 14:11;MastCard;Tabriz;0.0;20
fail;14/9/2025 13:10;Discover;Qom;100.5;27
success;18/9/2025 3:27;Visa;Isfahan;1578078.0;8
success;26/9/2025 16:40;Amex;Shiraz;1427657.0;85
fail;9/9/2025 13:13;Visa;Isfahan;-999999.0;61
failed;26/9/2025 12:12;MasterCard;karaj;0.0;28
fail;21/9/2025 21:21;Master-Card;Isfahan;0.0;88
fail;2/9/2025 6:30;Visa;Qom;1768588.0;70
success;20/9/2025 11:11;Visa;Tabriz;555555.0;3
success;28/9/2025 4:04;Amex;Karaj;-5000.0;69
success;15/9/2025 7:07;Discover;Shiraz;205000.0;73
fail;28/9/2025 13:10;MasterCard;Isfahan;419089.0;7
failed;7/9/2025 6:06;MasterCard;Tabriz;914465.0;60
success;12/9/2025 23:59;Visa;Shiraz;545116.0;4
fail;29/9/2025 21:23;Visa;tehr@n;976246.0;5
fail;8/9/2025 19:40;Master-Card;Tehran;-5000.0;11
failed;15/9/2025 23:17;Visa;Ahvaz;0.0;15
success;3/9/2025 5:23;MasterCard;Qom;585954.0;64
fail;14/9/2025 7:08;VISA;Mashhad;583952.0;99
fail;17/9/2025 1:51;Vsa;Tehran ;1883871.0;13
fail;4/9/2025 5:23;Visa;Qom;100.5;7
success;18/9/2025 14:00;MasterCard;karaj;0.0;6
failed;8/9/2025 14:00;MastCard;Mashhad;583952.0;56
success;4/9/2025 10:05;MastCard;Tabriz;-1.0;64
success;2/9/2025 17:07;MastCard;Karaj;1578078.0;50
failed;30/9/2025 4:04;MasterCard;TEHRAN;99999.0;30
success;6/9/2025 8:08;Visa;karaj;0.0;22
success;22/9/2025 2:54;MasterCard;Tehran;1000.0;25
fail;10/9/2025 19:51;Amex;Tabriz;-999999.0;28
success;4/9/2025 3:27;Amex;Mashhad;1387769.0;84
success;22/9/2025 4:15;Visa;Qom;-999999.0;39
fail;29/9/2025 16:16;Visa;Tehran;1782689.0;67
succeed;18/9/2025 10:05;VISA;Tabriz;-5000.0;5
failed;26/9/2025 14:11;Visa;Ahvaz;1472823.0;65
success;12/9/2025 9:45;Discover;Karaj;1578078.0;15
success;2/9/2025 16:40;MastCard;karaj;100.5;91
success;10/9/2025 2:20;MasterCard;tehr@n;585954.0;67
fail;30/9/2025 9:09;Visa;Tabriz;177050.0;40
fail;4/9/2025 14:00;MasterCard;THR;1578078.0;99
success;14/9/2025 23:59;Amex;Shiraz;1427657.0;69
success;16/9/2025 1:01;MasterCard;tehr@n;-5000.0;96
failed;15/9/2025 22:27;nan;Tabriz;585954.0;77
fail;8/9/2025 23:17;Discover;Tabriz;99999.0;43
success;14/9/2025 17:07;Amex;Karaj;0.0;1
success;23/9/2025 19:29;Visa;TEHRAN;1427657.0;22
success;28/9/2025 2:37;Discover;karaj;343679.0;62
failed;25/9/2025 19:40;MastCard;Karaj;1782689.0;79
succeed;30/9/2025 13:10;Visa;Isfahan;1782689.0;26
fail;8/9/2025 11:11;Amex;Karaj;555555.0;18
fail;21/9/2025 3:27;Visa;Ahvaz;12345.0;48
fail;16/9/2025 7:08;Visa;Ahvaz;333333.0;9
success;13/9/2025 10:48;MasterCard;Karaj;200000.0;1
fail;18/9/2025 2:24;MastCard;Tehran;914465.0;9
success;15/9/2025 9:45;Visa;Shiraz;250000.0;23
success;21/9/2025 13:10;nan;Mashhad;471227.0;45
success;24/9/2025 15:45;Visa;Tehran ;1463119.0;2
success;26/9/2025 7:07;Visa;Shiraz;1427657.0;14
success;25/9/2025 21:23;Visa;Shiraz;100000.0;38
success;28/9/2025 4:40;Visa;nan;100.5;40
fail;28/9/2025 23:59;Visa;Tehran;583952.0;63
success;28/9/2025 21:23;Vsa;Tabriz;9999999999.0;82
success;13/9/2025 0:00;MasterCard;Shiraz;333333.0;16
success;9/9/2025 8:08;Discover;Tabriz;0.0;94
failed;29/9/2025 14:11;Master Card;Isfahan;-1.0;75
failed;15/9/2025 11:11;Discover;TEHRAN;555555.0;6
failed;13/9/2025 6:06;Visa;Qom;452545.0;3
fail;1/9/2025 16:40;Discover;Tehran;100.5;14
success;25/9/2025 9:00;Discover;Tabriz;0.0;66
fail;7/9/2025 18:12;MasterCard;Tehran;205000.0;97
fail;9/9/2025 8:08;Discover;Qom;9999999999.0;96
fail;24/9/2025 8:08;MasterCard;Tehran;343679.0;75
fail;1/9/2025 9:09;MastCard;THR;177050.0;87
fail;12/9/2025 12:12;Vsa;Qom;-999999.0;67
success;8/9/2025 16:40;MastCard;Tehran;774681.0;31
Success;24/9/2025 16:40;Visa;Tabriz;100.5;33
fail;11/9/2025 23:17;Visa;Shiraz;1000.0;89
failed;19/9/2025 2:37;MasterCard;Isfahan;120000.0;1
fail;17/9/2025 16:40;Visa;Mashhad;850000.0;44
fail;8/9/2025 22:27;Visa;TEHRAN;412308.0;15
success;3/9/2025 2:37;MasterCard;Isfahan;5000.0;37
success;3/9/2025 3:27;Discover;Isfahan;545116.0;27
fail;1/9/2025 2:37;MastCard;karaj;419089.0;48
fail;27/9/2025 19:40;Discover;Tabriz;-999999.0;27
success;5/9/2025 16:40;VISA;Tehran;100000.0;12
fail;10/9/2025 2:20;MastCard;Tehran;1305967.0;67
success;7/9/2025 3:27;Visa;tehr@n;-5000.0;30
success;26/9/2025 9:09;MasterCard;tehr@n;0.0;97
fail;9/9/2025 21:21;Amex;Tabriz;419089.0;88
failed;28/9/2025 0:00;MastCard;Qom;976246.0;66
fail;7/9/2025 23:59;MasterCard;Tehran;-5000.0;7
success;9/9/2025 10:48;MasterCard;Shiraz;1158713.0;34
success;8/9/2025 16:40;Discover;Tehran;0.0;32
FAIL;12/9/2025 19:51;Discover;Tehran;914465.0;39
success;2/9/2025 10:48;Master Card;karaj;1768588.0;97
success;1/9/2025 4:15;Discover;Tabriz;452545.0;43
fail;16/9/2025 12:34;Visa;Tehran;300000.0;43
success;23/9/2025 7:32;Visa;karaj;-999999.0;78
success;23/9/2025 22:27;Master-Card;Ahvaz;1768588.0;3
success;30/9/2025 18:00;Amex;Karaj;1427657.0;46
failed;24/9/2025 0:00;Vsa;TEHRAN;120000.0;32
fail;5/9/2025 7:32;Vsa;Mashhad;200000.0;43
failed;3/9/2025 7:32;Vsa;Tehran;0.0;81
failed;12/9/2025 2:30;Amex;Tehran;914282.0;3
success;8/9/2025 23:17;Visa;Tabriz;-5000.0;74
success;22/9/2025 20:33;Visa;Tehran;-5000.0;63
fail;27/9/2025 7:32;Amex;Qom;471227.0;40
succeed;3/9/2025 12:12;Discover;Tehran;177050.0;18
fail;1/9/2025 9:09;Amex;Isfahan;850000.0;67
success;3/9/2025 23:59;MasterCard;Tehran;914465.0;62
success;5/9/2025 2:37;Amex;Isfahan;250000.0;10
Success;15/9/2025 23:59;Visa;Shiraz;250000.0;52
success;14/9/2025 2:30;Visa;Isfahan;976246.0;73
success;3/9/2025 21:10;MastCard;Isfahan;900000.0;46
fail;1/9/2025 18:00;Visa;nan;0.0;55
fail;5/9/2025 5:56;Amex;Karaj;250000.0;46
fail;26/9/2025 19:19;Amex;Mashhad;12345.0;75
failed;23/9/2025 21:21;visa;Qom;1883871.0;60
success;14/9/2025 7:08;Vsa;Shiraz;850000.0;98
success;7/9/2025 2:37;MasterCard;Tehran;250000.0;26
success;27/9/2025 1:51;Amex;Tehran;300000.0;27
success;9/9/2025 12:44;Visa;Shiraz;585954.0;38
fail;15/9/2025 19:51;Discover;Isfahan;914282.0;22
fail;15/9/2025 0:00;MastCard;Tehran;1502601.0;26
fail;26/9/2025 2:37;Amex;Tabriz;1578078.0;87
success;10/9/2025 22:27;MasterCard;Tehran;1578078.0;69
fail;28/9/2025 0:00;Visa;TEHRAN;200000.0;35
success;13/9/2025 0:00;Vsa;Tabriz;0.0;66
success;19/9/2025 21:23;Discover;Tehran;914282.0;100
success;7/9/2025 20:33;Vsa;Shiraz;1000.0;73
fail;17/9/2025 10:48;Amex;Mashhad;1782689.0;51
fail;20/9/2025 20:33;Discover;Qom;419089.0;18
fail;29/9/2025 0:00;Visa;Isfahan;-5000.0;43
success;4/9/2025 21:23;Discover;Mashhad;1158713.0;12
