status;status_new;date;time;card_type;city;amount
success;SUCCESS;7/9/2025;10:48:00 ðì;Visa;Tehran;1427657.0
success;SUCCESS;20/9/2025;1:10:00 ìì;Master Card;Tehran;1578078.0
fail;FAIL;29/9/2025;3:27:00 ðì;Visa;Tehran ;250000.0
success;SUCCESS;11/9/2025;11:11:00 ðì;Visa;Tehran;1782689.0
fail;FAIL;8/9/2025;9:21:00 ìì;Discover;Tehran;1050805.0
Success;SUCCESS;29/9/2025;10:27:00 ìì;Visa;Tabriz;1387769.0
fail;FAIL;21/9/2025;3:00:00 ðì;Master Card;Tehran;1502601.0
success;SUCCESS;19/9/2025;12:12:00 ìì;Visa;Tehran;200000.0
fail;FAIL;23/9/2025;7:19:00 ìì;Amex;Shiraz;914282.0
fail;FAIL;11/9/2025;7:32:00 ðì;visa;Tehran;774681.0
fail;FAIL;11/9/2025;2:30:00 ìì;Visa;Isfahan;1305967.0
fail;FAIL;24/9/2025;11:11:00 ðì;Visa;karaj;177050.0
fail;FAIL;21/9/2025;11:11:00 ðì;Master Card;Tehran;650000.0
success;SUCCESS;4/9/2025;10:05:00 ðì;Amex;Ahvaz;12345.0
success;SUCCESS;24/9/2025;3:00:00 ðì;Discover;karaj;50200.0
fail;FAIL;3/9/2025;5:17:00 ìì;Master Card;Tehran;1305967.0
fail;FAIL;22/9/2025;12:00:00 ðì;Discover;Ahvaz;471227.0
fail;FAIL;2/9/2025;11:11:00 ðì;Visa;Qom;177050.0
fail;FAIL;24/9/2025;1:10:00 ìì;Discover;Tabriz;471227.0
success;SUCCESS;30/9/2025;4:40:00 ìì;Visa;Isfahan;976246.0
FAIL;FAIL;6/9/2025;1:01:00 ðì;Visa;Tehran;120000.0
Success;SUCCESS;2/9/2025;4:40:00 ìì;VISA;Mashhad;1050805.0
fail;FAIL;21/9/2025;9:10:00 ìì;Discover;Tehran;1158713.0
Success;SUCCESS;1/9/2025;2:30:00 ìì;Master Card;Shiraz;450000.0
success;SUCCESS;22/9/2025;2:54:00 ðì;Discover;Isfahan;100.5
success;SUCCESS;17/9/2025;2:02:00 ìì;Discover;Isfahan;99999.0
